A B S C
0 0 0 0
1 0 1 0
2 0 2 0
3 0 3 0
4 0 4 0
5 0 5 0
6 0 6 0
7 0 7 0
8 0 8 0
9 0 9 0
A 0 A 0
B 0 B 0
C 0 C 0
D 0 D 0
E 0 E 0
F 0 F 0
0 1 1 0
1 1 2 0
2 1 3 0
3 1 4 0
4 1 5 0
5 1 6 0
6 1 7 0
7 1 8 0
8 1 9 0
9 1 A 0
A 1 B 0
B 1 C 0
C 1 D 0
D 1 E 0
E 1 F 0
F 1 0 1
0 2 2 0
1 2 3 0
2 2 4 0
3 2 5 0
4 2 6 0
5 2 7 0
6 2 8 0
7 2 9 0
8 2 A 0
9 2 B 0
A 2 C 0
B 2 D 0
C 2 E 0
D 2 F 0
E 2 0 1
F 2 1 1
0 3 3 0
1 3 4 0
2 3 5 0
3 3 6 0
4 3 7 0
5 3 8 0
6 3 9 0
7 3 A 0
8 3 B 0
9 3 C 0
A 3 D 0
B 3 E 0
C 3 F 0
D 3 0 1
E 3 1 1
F 3 2 1
0 4 4 0
1 4 5 0
2 4 6 0
3 4 7 0
4 4 8 0
5 4 9 0
6 4 A 0
7 4 B 0
8 4 C 0
9 4 D 0
A 4 E 0
B 4 F 0
C 4 0 1
D 4 1 1
E 4 2 1
F 4 3 1
0 5 5 0
1 5 6 0
2 5 7 0
3 5 8 0
4 5 9 0
5 5 A 0
6 5 B 0
7 5 C 0
8 5 D 0
9 5 E 0
A 5 F 0
B 5 0 1
C 5 1 1
D 5 2 1
E 5 3 1
F 5 4 1
0 6 6 0
1 6 7 0
2 6 8 0
3 6 9 0
4 6 A 0
5 6 B 0
6 6 C 0
7 6 D 0
8 6 E 0
9 6 F 0
A 6 0 1
B 6 1 1
C 6 2 1
D 6 3 1
E 6 4 1
F 6 5 1
0 7 7 0
1 7 8 0
2 7 9 0
3 7 A 0
4 7 B 0
5 7 C 0
6 7 D 0
7 7 E 0
8 7 F 0
9 7 0 1
A 7 1 1
B 7 2 1
C 7 3 1
D 7 4 1
E 7 5 1
F 7 6 1
0 8 8 0
1 8 9 0
2 8 A 0
3 8 B 0
4 8 C 0
5 8 D 0
6 8 E 0
7 8 F 0
8 8 0 1
9 8 1 1
A 8 2 1
B 8 3 1
C 8 4 1
D 8 5 1
E 8 6 1
F 8 7 1
0 9 9 0
1 9 A 0
2 9 B 0
3 9 C 0
4 9 D 0
5 9 E 0
6 9 F 0
7 9 0 1
8 9 1 1
9 9 2 1
A 9 3 1
B 9 4 1
C 9 5 1
D 9 6 1
E 9 7 1
F 9 8 1
0 A A 0
1 A B 0
2 A C 0
3 A D 0
4 A E 0
5 A F 0
6 A 0 1
7 A 1 1
8 A 2 1
9 A 3 1
A A 4 1
B A 5 1
C A 6 1
D A 7 1
E A 8 1
F A 9 1
0 B B 0
1 B C 0
2 B D 0
3 B E 0
4 B F 0
5 B 0 1
6 B 1 1
7 B 2 1
8 B 3 1
9 B 4 1
A B 5 1
B B 6 1
C B 7 1
D B 8 1
E B 9 1
F B A 1
0 C C 0
1 C D 0
2 C E 0
3 C F 0
4 C 0 1
5 C 1 1
6 C 2 1
7 C 3 1
8 C 4 1
9 C 5 1
A C 6 1
B C 7 1
C C 8 1
D C 9 1
E C A 1
F C B 1
0 D D 0
1 D E 0
2 D F 0
3 D 0 1
4 D 1 1
5 D 2 1
6 D 3 1
7 D 4 1
8 D 5 1
9 D 6 1
A D 7 1
B D 8 1
C D 9 1
D D A 1
E D B 1
F D C 1
0 E E 0
1 E F 0
2 E 0 1
3 E 1 1
4 E 2 1
5 E 3 1
6 E 4 1
7 E 5 1
8 E 6 1
9 E 7 1
A E 8 1
B E 9 1
C E A 1
C E 1 1
D E B 1
E E C 1
F E D 1
0 F F 0
1 F 0 1
2 F 1 1
3 F 2 1
4 F 3 1
5 F 4 1
6 F 5 1
7 F 6 1
8 F 7 1
9 F 8 1
A F 9 1
B F A 1
C F B 1
D F C 1
E F D 1
F F E 1
F F E 0
