      Time | hexA hexB hexSUM hexREF | decA decB decSUM decREF | CORRECT
    570 ns |    0    0     00     00 |    0    0      0      0 |      OK
   1370 ns |    1    0     01     01 |    1    0      1      1 |      OK
   2170 ns |    2    0     02     02 |    2    0      2      2 |      OK
   2970 ns |    3    0     03     03 |    3    0      3      3 |      OK
   3770 ns |    4    0     04     04 |    4    0      4      4 |      OK
   4570 ns |    5    0     05     05 |    5    0      5      5 |      OK
   5370 ns |    6    0     06     06 |    6    0      6      6 |      OK
   6170 ns |    7    0     07     07 |    7    0      7      7 |      OK
   6970 ns |    8    0     08     08 |    8    0      8      8 |      OK
   7770 ns |    9    0     09     09 |    9    0      9      9 |      OK
   8570 ns |    A    0     0A     0A |   10    0     10     10 |      OK
   9370 ns |    B    0     0B     0B |   11    0     11     11 |      OK
  10170 ns |    C    0     0C     0C |   12    0     12     12 |      OK
  10970 ns |    D    0     0D     0D |   13    0     13     13 |      OK
  11770 ns |    E    0     0E     0E |   14    0     14     14 |      OK
  12570 ns |    F    0     0F     0F |   15    0     15     15 |      OK
  13370 ns |    0    1     01     01 |    0    1      1      1 |      OK
  14170 ns |    1    1     02     02 |    1    1      2      2 |      OK
  14970 ns |    2    1     03     03 |    2    1      3      3 |      OK
  15770 ns |    3    1     04     04 |    3    1      4      4 |      OK
  16570 ns |    4    1     05     05 |    4    1      5      5 |      OK
  17370 ns |    5    1     06     06 |    5    1      6      6 |      OK
  18170 ns |    6    1     07     07 |    6    1      7      7 |      OK
  18970 ns |    7    1     08     08 |    7    1      8      8 |      OK
  19770 ns |    8    1     09     09 |    8    1      9      9 |      OK
  20570 ns |    9    1     0A     0A |    9    1     10     10 |      OK
  21370 ns |    A    1     0B     0B |   10    1     11     11 |      OK
  22170 ns |    B    1     0C     0C |   11    1     12     12 |      OK
  22970 ns |    C    1     0D     0D |   12    1     13     13 |      OK
  23770 ns |    D    1     0E     0E |   13    1     14     14 |      OK
  24570 ns |    E    1     0F     0F |   14    1     15     15 |      OK
  25370 ns |    F    1     10     10 |   15    1     16     16 |      OK
  26170 ns |    0    2     02     02 |    0    2      2      2 |      OK
  26970 ns |    1    2     03     03 |    1    2      3      3 |      OK
  27770 ns |    2    2     04     04 |    2    2      4      4 |      OK
  28570 ns |    3    2     05     05 |    3    2      5      5 |      OK
  29370 ns |    4    2     06     06 |    4    2      6      6 |      OK
  30170 ns |    5    2     07     07 |    5    2      7      7 |      OK
  30970 ns |    6    2     08     08 |    6    2      8      8 |      OK
  31770 ns |    7    2     09     09 |    7    2      9      9 |      OK
  32570 ns |    8    2     0A     0A |    8    2     10     10 |      OK
